".id","from","to","link","filename"
"links_2015",2015-11-08,2015-11-14,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/56ba3d94-491a-4480-a847-7ef72eeb78f2/download/fahrzeitensollist2015110820151114.csv","fahrzeitensollist2015110820151114.csv"
"links_2015",2015-09-20,2015-09-26,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/9cc3a6de-6810-4505-9ab9-1f3ed934d845/download/fahrzeitensollist2015092020150926.csv","fahrzeitensollist2015092020150926.csv"
"links_2015",2015-09-27,2015-10-03,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/66100dac-e033-40ee-880b-7e012d58f12d/download/fahrzeitensollist2015092720151003.csv","fahrzeitensollist2015092720151003.csv"
"links_2015",2015-10-04,2015-10-10,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/62925c6a-8a12-4088-9b91-9d9dd8e854d8/download/fahrzeitensollist2015100420151010.csv","fahrzeitensollist2015100420151010.csv"
"links_2015",2015-11-01,2015-11-07,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/bb8350e5-9be0-4fb8-849f-369e6d331bf2/download/fahrzeitensollist2015110120151107.csv","fahrzeitensollist2015110120151107.csv"
"links_2016",2016-09-11,2016-09-17,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/ed3ef343-3571-42e1-a400-f22805d8b09d/download/fahrzeitensollist2016091120160917.csv","fahrzeitensollist2016091120160917.csv"
"links_2016",2016-07-31,2016-08-06,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/9b16c7b6-46e1-4415-b79e-d99b213547cb/download/fahrzeitensollist2016073120160806.csv","fahrzeitensollist2016073120160806.csv"
"links_2016",2016-07-10,2016-07-16,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/94493d3e-5239-4318-ad26-dd19824ff900/download/fahrzeitensollist2016071020160716.csv","fahrzeitensollist2016071020160716.csv"
"links_2016",2016-06-19,2016-06-25,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/8eaca2f5-4637-4c15-810b-59e1df61ed56/download/fahrzeitensollist2016061920160625.csv","fahrzeitensollist2016061920160625.csv"
"links_2016",2016-11-27,2016-12-03,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/d23684ef-562f-47e9-9a96-9e3bf194ef18/download/fahrzeitensollist2016112720161203.csv","fahrzeitensollist2016112720161203.csv"
"links_2016",2016-01-24,2016-01-30,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/e8dffbc1-1f81-48b2-a816-d918c7f61725/download/fahrzeitensollist2016012420160130.csv","fahrzeitensollist2016012420160130.csv"
"links_2016",2016-08-21,2016-08-27,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/b7b17a47-3d25-4d89-bea6-15ff0bd137c2/download/fahrzeitensollist2016082120160827.csv","fahrzeitensollist2016082120160827.csv"
"links_2016",2016-11-13,2016-11-19,"https://data.stadt-zuerich.ch/dataset/60b50f24-6fd2-43b5-9850-5e61f549253d/resource/0b5c3ed4-56e4-4db3-a383-d865f179ebdc/download/fahrzeitensollist2016111320161119.csv","fahrzeitensollist2016111320161119.csv"
